trip_id,driver_id,rider_id,device_id,pickup_location,dropoff_location,distance_km,fare_amount,payment_method,pickup_time,dropoff_time,fraud_flag,fraud_type
1,fraud_driver_456,fraud_rider_123,cf849b7c-a58f-4f5d-a0dc-8cbd48d2a578,"28.54600163950086,77.32590274900478","28.626240975604855,77.23410212453614",12.19,124.45,card,2025-08-11 05:33:16.412740,2025-08-11 05:55:16.412740,1,device_reuse
2,57abda7d-55a8-4cc9-b3ad-893856a63b91,e2b64be9-722d-4bb0-a117-b193d43ba9aa,ed94cf7b-eff1-422d-93cf-445c03d6f2c4,"28.510317726759194,77.25177646759445","28.553460231596713,77.23354478466",4.68,45.4,card,2025-08-16 20:10:38.557367,2025-08-16 20:52:38.557367,0,legit
3,c6f51833-ac01-47b2-9c33-7d3aac8bc4af,24d6e273-8cf4-477d-ad2f-feffb0d8226f,bb95bec3-0936-479b-9aef-05d24b05a25c,"28.547157757490016,77.16814469431048","28.618186363354912,77.20774616439004",8.13,72.6,card,2025-07-08 05:09:23.725889,2025-07-08 05:41:23.725889,0,legit
4,f1af9eab-3f0e-4647-a65f-880ab5d610e1,10e0a893-189f-4d71-96a5-c4d69236ebd3,8297aa1a-d2e9-4028-aa06-b27ec251271a,"28.663722040109718,77.1781287422203","28.577620142959788,77.26018331827224",11.89,114.13,card,2025-07-28 12:22:15.995831,2025-07-28 12:42:15.995831,0,legit
5,ae706ee1-f473-4358-8ca8-fee388c0ad22,d3e39d26-49c3-415c-bcf6-4b1a513f9c1f,f5b98471-cec9-45d6-963d-6ac01d3ed1d8,"28.565817572135074,77.19350651155113","28.567426236648323,77.28869720688702",9.52,103.2,wallet,2025-07-05 15:26:04.167879,2025-07-05 16:03:04.167879,0,legit
6,ba7882a1-8fc5-496e-b328-17443de95d5f,9ce5010d-e754-4d81-acb7-abde10099838,80a4194e-65b9-4d25-97b3-9f26606ac72c,"28.512597438622638,77.25705559268879","28.70526229453569,77.17478274593682",20.95,187.86,wallet,2025-07-23 07:12:17.570963,2025-07-23 07:42:17.570963,0,legit
7,2e149dc1-e03b-47bd-bd52-0380ebca4842,8d0115da-f911-428e-9d4e-275120814a82,dfc9f6a1-ec59-4857-9476-3d23f704fdde,"28.701451617501867,77.2557981926386","28.573672470754286,77.1909327546247",14.33,155.24,card,2025-09-04 14:27:13.610142,2025-09-04 15:20:13.610142,0,legit
8,46d8cdb6-5696-4af3-bcf6-ab6cd76345a2,690c1a5d-285a-4ab6-ac3d-2dabc9289a70,0f879472-bcd6-4bdf-a2e5-9f2757eb0e9c,"28.67499667569623,77.16312768886351","28.660778800822065,77.32195811760799",15.95,152.87,card,2025-08-18 23:30:49.506954,2025-08-19 00:28:49.506954,0,legit
9,0e0d5746-4b8a-4a46-ae59-9a34e0f11037,ba72ff0b-1896-4c18-9c19-27cfb2fb2e1d,9094b6e1-e106-464d-986d-2aa0961389f0,"28.57548857178339,77.13992869533237","28.704603854361714,77.2624491402085",17.8,203.03,card,2025-07-29 08:38:15.471615,2025-07-29 09:00:15.471615,0,legit
10,348c27e6-c12b-467d-be80-ee23035cc534,f5bf3a6c-4fc5-4e2b-851c-1f50f1f43108,0b20c1ed-beac-4394-81c5-340d641bd52e,"28.687680198777862,77.20647454613767","28.622302664140783,77.23907851248856",7.31,71.03,cash,2025-08-31 14:47:42.669545,2025-08-31 14:57:42.669545,0,legit
11,0854030b-6c17-4989-9330-5679c577d9b3,80559eae-c4bd-4748-af06-69649e8946ee,eab8bdcb-e020-4843-8e10-94cff65deab5,"28.60418944171302,77.30199891691902","28.590332763551277,77.15661791416329",14.6,131.61,card,2025-08-17 23:19:54.723032,2025-08-17 23:37:54.723032,0,legit
12,fraud_driver_456,fraud_rider_123,2b090c64-bb59-4474-bd6b-726359ed1b51,"28.52727458932893,77.31335399253956","28.61968743601465,77.30777516824692",9.26,99.47,card,2025-09-01 06:50:51.566191,2025-09-01 07:16:51.566191,1,rider_driver_repeat
13,912fcc49-bd72-4725-84a8-cfb4e9c4ae29,fcb4271d-8910-4af1-a4f7-7741848b78af,01f24940-d4d8-483a-9e50-70d335d4e07d,"28.591802396079995,77.24025516922451","28.557993790970112,77.27960274796698",5.19,59.18,cash,2025-08-16 16:44:25.551308,2025-08-16 17:37:25.551308,0,legit
14,78881002-2ef5-4e29-a269-788a4b6132df,e2f18e7c-3f4f-4697-b178-1bf36836a3e3,d4f522a7-c068-419b-867c-17b2d56fa7c8,"28.693436824925975,77.14489721302476","28.51577129715008,77.29888814071786",23.51,210.57,wallet,2025-07-12 22:40:22.276218,2025-07-12 23:06:22.276218,0,legit
15,7bac3b62-4b98-4c0f-9fe9-e97800e59a7c,f4651205-b176-4a0a-88c5-c364802be942,eb0bb027-5058-4d3d-bdd0-1960b07482f1,"28.55718485734298,77.19449776977643","28.624236233198108,77.32410659396152",14.59,149.32,card,2025-07-09 01:41:12.393987,2025-07-09 02:01:12.393987,0,legit
16,cfef9f1a-27f8-4739-9e47-a56bc6de54d9,aa0bc5c9-1e40-49b0-bacb-3d938f0d75e0,51db3f45-c212-4147-8a88-976f0db6b685,"28.683239113897432,77.14503431871768","28.609005829060646,77.24830191954146",12.72,138.16,wallet,2025-08-22 05:11:49.150620,2025-08-22 05:47:49.150620,0,legit
17,6507f21b-c93a-4532-b365-02cbd8e668fd,0b888081-feb9-4877-91ed-942062ef5a6f,a72a0cbc-f0a4-40ed-8e5a-d3b0960ac0b7,"28.539238373238703,77.30600779697274","28.60650798278764,77.17416522354621",14.8,153.51,cash,2025-07-20 01:15:09.943979,2025-07-20 02:11:09.943979,0,legit
18,27f09a3b-16da-4988-905a-7365f17b1192,d708861d-034e-49ff-865e-831787da23e5,3372d124-a973-440c-b4d9-8f5514f67783,"28.653785212223585,77.23919579615891","28.552005686954754,77.30812069832669",12.29,127.26,wallet,2025-07-19 06:03:53.188627,2025-07-19 06:39:53.188627,0,legit
19,d367e7ce-57d2-43f1-9122-8e0bd297f8b1,dec99489-77f5-4ea8-850e-ffecb6efc5b8,06fd42b4-31c9-4410-ab31-dc03e81bc267,"28.586181796798986,77.3207421164483","28.688535546220734,77.241265569405",12.96,115.12,card,2025-06-27 12:59:08.923220,2025-06-27 13:15:08.923220,0,legit
20,839be80c-bfb6-4ca7-a4c9-0a8123507101,98b4f999-65b6-4580-b5d6-0ea7ae432fed,2001428e-e88c-4c3e-96d4-07fabcf69982,"28.521944935391456,77.2114845975362","28.597815752147806,77.28709454393615",10.71,103.82,wallet,2025-07-13 07:56:28.324015,2025-07-13 08:54:28.324015,0,legit
21,27594014-6621-499f-88bd-10359d1bbd01,5ac00f0e-7493-4dfb-bfdc-58bc509490d8,a9c25ff5-2da6-4e26-9b0b-4f24d429dc69,"28.542213451253264,77.32983085833192","28.543781742889795,77.18364219755625",14.62,142.49,wallet,2025-08-16 11:39:34.469774,2025-08-16 12:15:34.469774,0,legit
22,f1f4e0ab-2243-4d6e-8cac-b7d963c942b1,e8121c51-ec41-4ea6-8515-6bfe314aee07,7668f69e-54ac-4f2c-bff6-574ff8101fbf,"28.564771971482205,77.1713284401132","28.622113932660035,77.23722738746035",8.74,82.32,card,2025-09-06 12:52:35.997228,2025-09-06 13:52:35.997228,0,legit
23,4e3621c7-aad1-495b-893d-f06afcccb85e,1bbe0c5c-f6b2-4c85-aaf2-891610f275db,shared_device_999,"28.652934942867926,77.16614221737919","28.62125394529373,77.22879454157665",7.02,64.23,card,2025-07-03 04:24:46.660791,2025-07-03 05:18:46.660791,1,short_high_fare
24,55746ddb-f077-41df-a02a-42a21fac6dce,b4438448-1f68-49cd-9eab-7af423c8bb18,b21df7d6-9cdc-4939-a0a0-31407a99686c,"28.663849357773117,77.30675515905607","28.554780548613067,77.23936525128774",12.82,127.59,cash,2025-06-22 03:43:51.432739,2025-06-22 04:05:51.432739,0,legit
25,9ce59d87-1803-48ae-ab42-76b5f167f949,5d38d870-5386-49ac-88b2-4ec4d7830e60,438fb093-cd06-40d8-a1e0-d6ed50349ded,"28.684165452086205,77.26734735185497","28.68510903096762,77.30359289710431",3.63,34.99,cash,2025-08-01 04:39:49.288478,2025-08-01 05:33:49.288478,0,legit
26,f11ed243-cbee-437b-9541-7794b29f6e4a,0fd266e9-55cb-44a6-8115-e0e68d22cdc4,d6fd50d6-d03a-48af-96d1-9d29b33f67db,"28.708795901517345,77.22607381577586","28.57443244902493,77.30277609974459",15.47,180.02,card,2025-06-23 00:35:04.441113,2025-06-23 00:53:04.441113,0,legit
27,b32aa75c-8d9c-4adf-b0b1-333c969a4282,ad99099c-3b3c-4d33-87d2-37ed05013ad1,be228550-00e9-4558-b2d0-6558541c8c4f,"28.518196429691745,77.27203214708592","28.569488877731807,77.32919770697357",7.68,86.77,card,2025-06-24 01:33:27.971585,2025-06-24 02:18:27.971585,0,legit
28,b6b5861a-53bf-414f-bf5b-5b34a1171560,d04a8682-08b8-4658-a9c5-5feb9f50cd9b,5cdcf26e-fca9-4288-8397-678d8e26c148,"28.6477773535407,77.2331950398645","28.613288535333776,77.13485012663577",10.42,99.5,wallet,2025-08-09 05:34:40.271254,2025-08-09 06:16:40.271254,0,legit
29,3bd1596a-f172-4012-bbb0-778ec45943dd,201d2f77-edd0-4852-8307-071507d61426,6bd9d855-ec07-4315-b558-d6f4967ebf87,"28.622690023095807,77.32181037913084","28.648226958542583,77.24911436826463",7.71,89.84,card,2025-06-30 09:25:45.721317,2025-06-30 10:01:45.721317,0,legit
30,bd603b48-6b99-4b09-8481-95f1fb67966a,764f3587-9857-43af-b3bd-b87f8924e487,2a87abbc-5aeb-4fe8-9ee9-9ec7e72d6d8e,"28.568720375835007,77.31574433345435","28.657401564476288,77.15057441033942",18.75,192.97,wallet,2025-07-13 15:42:18.187685,2025-07-13 15:50:18.187685,0,legit
31,4fbe8f54-30e4-4269-9ce7-99b677e7d88f,f32b3e32-ea48-4b9f-ac5b-a8a20d58ad9d,e48a1d62-25c7-489c-8065-39d6fd3c3a56,"28.70212729045956,77.2432872994298","28.51521036401296,77.30182340235667",19.59,180.98,card,2025-08-02 08:21:25.570507,2025-08-02 08:43:25.570507,0,legit
32,083debc4-257c-43ee-8fe8-1c62e9c8e37b,e3abcd9d-030b-40b4-9aec-d6a98dfa9653,e4093e77-99b8-4b79-a7dc-501460b96481,"28.625488434406623,77.17511257319421","28.70040856153561,77.21805076438811",8.64,95.12,card,2025-08-26 09:28:22.287056,2025-08-26 10:15:22.287056,0,legit
33,dede98a2-2285-4103-9a39-30c012134532,860dc911-1e69-41cd-afae-426131638d08,4a8c5128-1336-48d9-9c6c-7102f6aee306,"28.621901208780887,77.14134813798589","28.707296122006987,77.13044252162607",8.61,94.9,cash,2025-07-24 10:59:08.046099,2025-07-24 11:36:08.046099,0,legit
34,2160c8fe-4f11-43dd-b4b6-664519683e7d,ee6c5ba6-699a-4ab3-8c5f-4618d63454df,7f52339e-9fdb-43e7-bfab-2f2f87e0718d,"28.64912556818727,77.17276544573714","28.56680171987512,77.32102035632944",0.28,745.36,wallet,2025-07-18 10:27:26.135008,2025-07-18 11:23:26.135008,1,short_high_fare
35,f0a74088-a57f-43f7-8a7f-9b26baa2daa2,baf8b4db-bd8d-476b-bfdd-f2b519320bcc,62a0ceda-d45d-4eed-b582-5f4899ae4521,"28.557406327203193,77.2861825616888","28.612800351439326,77.31440339792675",6.22,54.54,wallet,2025-07-06 06:03:27.518030,2025-07-06 06:31:27.518030,0,legit
36,4269ee0c-d75e-4f6e-b9c4-aca587160cb0,65ef5b87-56b4-4516-8bab-b15bc43aa626,4e175daf-7490-4c57-884f-6dca494689c1,"28.61108460196628,77.15736226042675","28.532781350181594,77.23014198811536",10.69,87.9,cash,2025-09-01 13:35:44.056926,2025-09-01 13:47:44.056926,0,legit
37,b07eb225-3d0c-4198-8f61-d33d87775887,df5c98fd-3d0e-486d-8a9c-f3b6af0c415c,2e0c88cf-44cd-4239-ba08-216697604c1d,"28.673891409763378,77.14802919505367","28.578886130983623,77.29975405664935",17.9,196.12,wallet,2025-07-15 23:23:23.082094,2025-07-16 00:14:23.082094,0,legit
38,841f1f79-1a0c-4e6d-b8ac-6a9ee40dab2c,8b8ba417-345e-4508-9952-f3ddbe2af2ad,7590cd24-2339-4b92-ae62-f819a0cb10d1,"28.510448990685376,77.30768320788214","28.63976809334007,77.31478883372324",12.95,143.02,card,2025-08-14 12:50:10.052783,2025-08-14 13:33:10.052783,0,legit
39,0c94c823-a603-40ad-9b64-4e4c89a7160e,9bb1146f-8247-4f6e-ba4f-49859f6c01d9,6f2d322b-7b99-4108-a488-be63b6153899,"28.58377018549277,77.29865469469969","28.62871889950884,77.25256524621511",6.44,70.53,wallet,2025-08-17 07:13:45.898770,2025-08-17 07:37:45.898770,0,legit
40,1eb06756-c5b8-42f9-a7ad-932d3543386e,50fe2e36-340d-463d-8314-aa01f2dedd94,d55ee788-378f-4488-809b-2432d78f1abd,"28.657643370851588,77.2402273107079","28.62041194844741,77.26114847844111",4.27,47.67,card,2025-08-13 04:06:40.766786,2025-08-13 04:12:40.766786,0,legit
41,326da87f-d834-4ca2-b187-a68c2e96dd65,9742d92f-75f8-4b86-8171-6395e034a18d,81ecfc32-8290-471f-bfd8-c6a71253ea92,"28.590422077117026,77.2362549776565","28.53512955074901,77.31961454560619",10.0,105.61,cash,2025-08-08 10:36:29.967088,2025-08-08 10:43:29.967088,0,legit
42,33b2ed1d-d508-4263-8f6f-7e512a938738,71948639-2bb7-4aa2-ba20-2242179a366a,3e377381-9c59-46a7-8af1-8c93a4fbad41,"28.534488249258164,77.20652456272113","28.686888170648043,77.20540395078854",15.24,174.51,wallet,2025-07-05 23:07:00.239488,2025-07-05 23:55:00.239488,0,legit
43,a2e168b5-494c-46c9-8240-4c190b7c8788,808cb7ba-f050-4899-ab9f-5ffac243b525,bf4231d9-48e6-4ddb-b22f-e01b084f40ad,"28.606160334198627,77.32510914309049","28.70070987631221,77.25218757440553",11.94,113.7,card,2025-09-02 12:56:56.098079,2025-09-02 13:06:56.098079,0,legit
44,9a611e84-7aa5-4bf0-884a-bed7ccde262c,544b8f24-2aeb-4016-b9ec-a63143660a15,c61868ec-d18d-446c-b079-1d97225696c6,"28.66369770372162,77.18358491664773","28.594530335522133,77.15057340443147",7.66,76.98,cash,2025-09-05 05:22:03.646733,2025-09-05 06:04:03.646733,0,legit
45,fraud_driver_456,fraud_rider_123,c4dc9e05-be88-4e73-958e-16f9744979d1,"28.545519389210003,77.13389968964182","28.524319515150744,77.26507971708574",13.29,143.97,wallet,2025-07-16 00:14:17.492614,2025-07-16 01:10:17.492614,1,device_reuse
46,32a98a84-c769-4382-b9b8-562ff63f6ac7,65593aaa-02c5-4238-b789-5b0bb618e454,b0dbd074-a993-438b-8d81-cc9154e8cd6c,"28.585768643234847,77.24997648449454","28.583010828167723,77.32402605112162",7.41,85.86,card,2025-08-21 10:50:38.703837,2025-08-21 11:42:38.703837,0,legit
47,220d69e4-3281-42cc-b50a-c5ee3680e2a4,8bdb42f6-69f1-45f1-bdd2-0eccdd726f1a,44b769f0-7575-451a-811a-f62930225787,"28.672295231371063,77.2165780902353","28.66227215784022,77.20296522026074",1.69,19.95,cash,2025-07-26 20:56:16.710110,2025-07-26 21:18:16.710110,0,legit
48,9ff7234d-f633-4327-8be1-e0f6a4b938fd,746fd0da-2dcb-408f-a32f-314cf0224ae3,29fcb598-b1c5-404f-b331-6e9b8206452c,"28.569684632326773,77.27507033521272","28.678294214880946,77.20661098462409",12.84,128.57,wallet,2025-07-01 02:27:16.348655,2025-07-01 02:58:16.348655,0,legit
49,37ba844e-0327-4d87-9ae8-efebd7321274,8414a08a-17bf-4af4-91e7-8f2093c91985,7c4d68e7-e5d4-46b1-b208-0c40a9a89e91,"28.51000114153213,77.25570511614158","28.628626347593375,77.2132167014364",12.6,135.63,card,2025-08-23 05:57:03.631300,2025-08-23 06:46:03.631300,0,legit
50,8c1a51b5-c2da-4734-9daa-7d04a29fd44c,33f604ec-1973-401a-ac7a-3fc8ca35c63c,a45df337-7be9-4c58-adf6-1136c1dcbfcf,"28.65898641223653,77.15207469991816","28.703790367340144,77.2369044831657",9.59,103.13,card,2025-08-31 05:04:50.382678,2025-08-31 05:45:50.382678,0,legit
51,282dbb8d-9c45-4b77-8032-7c54655293e0,f81320e6-2b0f-4028-acab-aae4570c090a,2ef6ab16-a138-4118-aea5-9093e820b384,"28.577770774276836,77.26536553998093","28.603824009269935,77.25888754916366",2.68,25.98,wallet,2025-07-29 07:37:33.507541,2025-07-29 08:02:33.507541,0,legit
